Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
Munandanur_Primary_School,Isiolo,School,0.98409242,0.660922316,0.334825079,0.143888663,0.131955867,0.005042856,0.002205205,0.000965787
Mwaluvuno_Primary_School,Kwale,School,0.535032674,0.325364974,0.183157197,0.079221986,0.072593659,0.002641871,0.00114712,0.000522412
Mwamambi_Primary_School,Kwale,School,1.218365784,0.74091466,0.417081934,0.180402734,0.165308839,0.006016016,0.002612199,0.001189627
Mwamtsefu_Primary_School,Kwale,School,0.513241261,0.312113143,0.175697365,0.075995344,0.069636982,0.00253427,0.001100399,0.000501135
Mwangani_Primary_School,Kilifi,School,0.411096323,0.252881455,0.140635146,0.060786512,0.055705537,0.002038381,0.000885798,0.000401626
Mwangaza_Primary_School,Kwale,School,1.339089171,0.81432917,0.458409049,0.198278177,0.181688684,0.006612121,0.002871032,0.001307502
Mwanza_Primary_School,Kilifi,School,1.317523521,0.81046034,0.450721892,0.194814827,0.178530799,0.00653281,0.002838898,0.001287172
Mwanzwani_Primary_School,Kwale,School,0.619191151,0.376543569,0.211967084,0.091683284,0.084012348,0.003057427,0.001327557,0.000604585
Mwele_Primary_School,Kilifi,School,1.260946797,0.77565778,0.431367119,0.186449143,0.170864379,0.00625228,0.00271699,0.001231898
Mwembe_Kati_Dispensary,Kilifi,Clinic,0.509913001,0.361772455,0.165395154,0.073289074,0.067554681,0.002557856,0.001161077,0.000629487
Nabeiye_Primary_School,Turkana,School,0.996704967,0.702080019,0.338039427,0.144777767,0.132827426,0.005203564,0.002283325,0.000980732
Nagaa_Primary_School,Isiolo,School,1.171867079,0.787032892,0.398713047,0.171344056,0.157134364,0.006005083,0.00262598,0.001150069
Nakaalei_Primary_School,Turkana,School,0.855875011,0.602879252,0.290275968,0.124321316,0.114059504,0.004468323,0.001960702,0.000842159
Nakitoekakumon_Primary_School,Turkana,School,0.803400106,0.565915874,0.272478738,0.116699,0.107066355,0.004194364,0.001840488,0.000790525
Namakat_Primary_School,Turkana,School,1.614001262,1.136904175,0.547399763,0.234443999,0.215092369,0.008426323,0.003697473,0.001588136
Namortung_a_Boys_Secondary_School,Turkana,School,0.325539121,0.229310097,0.110408859,0.047286638,0.043383473,0.001699564,0.000745769,0.000320322
Naroo_Primary_School,Turkana,School,0.743658115,0.523833553,0.252216826,0.108021094,0.099104746,0.003882465,0.001703627,0.000731741
Ndugu_Zangu_Integrated_Primary_School,Isiolo,School,0.688977778,0.462721569,0.23441603,0.100738598,0.09238427,0.003530579,0.001543897,0.000676162
Ngoloko_Primary_School,Kilifi,School,0.802669944,0.493753732,0.274591618,0.118686311,0.108765653,0.00397996,0.001729531,0.000784179
Nyango_Primary_School,Kwale,School,0.74896524,0.455462008,0.256392517,0.11089886,0.101620199,0.003698222,0.001605795,0.000731298
Paola_Katsuhanzala_Primary_School,Kilifi,School,0.527458615,0.324460461,0.180442429,0.077992352,0.071473189,0.002615351,0.001136527,0.000515307
Pumwani_Primary_School,Kilifi,School,0.335496264,0.206376898,0.114772532,0.049607954,0.045461364,0.001663525,0.000722901,0.000327767
Sagalato_Primary_School,Kwale,School,0.597019421,0.363060459,0.204377058,0.088400328,0.08100407,0.002947948,0.001280021,0.000582937
Sagalla_Health_Centre,Taita_Taveta,Clinic,0.395789017,0.281425923,0.12836017,0.056868278,0.052419745,0.00198725,0.000902169,0.000488603
Saghaighu_dispensary,Taita_Taveta,Clinic,0.478641999,0.340338565,0.155230604,0.068772868,0.063393097,0.002403253,0.001091025,0.000590886
