Site_name,County,Cumu_dumped_energy,Cumu_total_energy_used,Cumu_res_supplied,Ut_rate,Institution
Kiteje_Mixed_Secondary_School,Kwale,3730.614429890271,20238.572688492866,25422.704409001923,79.60826024994647,School
Kithengwani_Primary_School,Kilifi,21638.811787391285,2039.4128446760922,25522.993247306593,7.990492435252705,School
Kituoni_Primary_School,Kwale,18290.81866605738,5378.039469062433,25422.704409001923,21.154474294080707,School
Kituu_Primary_School,Kwale,7831.47211477816,15986.441220429107,25422.704409001923,62.882535875170184,School
Kizimbani_Primary_School,Kwale,17598.266574191934,6009.994526498924,25422.704409001923,23.64026434721416,School
Kombola_primary_school,Isiolo,20949.542762944697,3691.385580655856,26508.275254614462,13.925408368517953,School
Konjora_Primary_School,Kilifi,19796.78310938396,3983.1163003170113,25522.993247306593,15.605992062617279,School
Kubimatamuka_Primary_School,Isiolo,19269.78546387619,5375.052695035141,26508.275254614462,20.276885777770367,School
KulaMawe_Primary_School,Isiolo,16505.50864660373,8297.69272306981,26508.275254614462,31.302273133086533,School
Kulalu_Primary_School,Kilifi,18165.95998333636,5572.502786090153,25522.993247306593,21.833265135068793,School
Lakole_Primary_School,Isiolo,18955.556259355362,5717.967726852664,26508.275254614462,21.570500803734113,School
Lobei_Primary_School,Turkana,14907.433563642087,9297.428554826143,26031.138944136594,35.71656459127137,School
Lokitaung_Girls_Secondary_School,Turkana,10457.683527383071,13790.20258710592,26031.138944136594,52.975794169821015,School
Loruth_Primary_School,Turkana,17482.655310233284,6717.400818626465,26031.138944136594,25.80525129170167,School
Lunguma_Primary_School,Kwale,16606.617509882228,7106.438753478085,25422.704409001923,27.953118752235373,School
Lwayoni_Primary_School,Kwale,9273.886290566903,14555.77863656561,25422.704409001923,57.25503629508258,School
Mabayani_Primary_School,Kwale,15656.394494030044,8007.054540750789,25422.704409001923,31.49568359027756,School
Mabesheni_Dispensary,Kwale,35919.50222439075,17447.795338236505,57201.08492025433,30.502560156963764,Clinic
Madibwani_Primary_School,Kwale,19259.04095827686,4324.945413964473,25422.704409001923,17.012137435830997,School
Maendeleo_Primary_School,Kwale,17436.511367742227,6189.363713781548,25422.704409001923,24.345811579313946,School
Mafisini_Primary_School,Kwale,16460.094532899926,7356.064314063656,25422.704409001923,28.93501885448091,School
Magale_Primary_School,Kwale,18010.597895754712,5693.8569694513135,25422.704409001923,22.396739850521868,School
Magodzoni_Primary_School,Kwale,17634.708064927658,5998.618816118326,25422.704409001923,23.595518083411598,School
Maiyini_Primary_School,Kwale,17887.541245228353,5749.684706422367,25422.704409001923,22.616337797588763,School
Majoreni_Primary_School,Kwale,1741.073389297474,22209.510390314,25422.704409001923,87.36092759057466,School
Makamini_Dispensary,Kwale,46552.47280661421,6614.110650351484,57201.08492025433,11.562911192283162,Clinic
Makonjeni_Primary_School,Kilifi,17680.596726995387,6053.671477175415,25522.993247306593,23.718501268710916,School
Malkadaka_Primary_School,Isiolo,17716.16366135693,6969.760228449284,26508.275254614462,26.29277145157158,School
Mama_Saleti_Primary_School,Isiolo,22150.04211110749,2440.81316549479,26508.275254614462,9.20774038314659,School
Mapawa_Primary_School,Kilifi,17141.88777570548,6574.102544464118,25522.993247306593,25.757568795963515,School
Maphanga_Primary_School,Kwale,18207.823269882454,5438.872868286207,25422.704409001923,21.39376197270483,School
Marafiki_Primary_School,Kilifi,20915.498105248516,2798.920011273725,25522.993247306593,10.966268666662328,School
Mataarba_Primary_School,Isiolo,20425.34145954558,4178.437407318327,26508.275254614462,15.762766031301718,School
Matagari_primary_School,Isiolo,15417.803003571604,9431.151941015854,26508.275254614462,35.57814248731295,School
Matolani_Primary_School,Kilifi,19891.1911832356,3864.7249716219285,25522.993247306593,15.142130604253353,School
Mawe_Mabomu_Primary_School,Kilifi,16033.799295272596,7736.870551955101,25522.993247306593,30.313335418727043,School
Maya_Island_Primary_School,Kilifi,17869.35725623161,5896.311193246954,25522.993247306593,23.101958050587125,School
Mazola_Dispensary,Kwale,44067.486434039114,9107.790149450002,57201.08492025433,15.922408048986192,Clinic
Mbararani_Primary_School,Kwale,20047.10217173486,3560.9400823378373,25422.704409001923,14.006928708485255,School
Mbilini_Primary_School,Kwale,21767.23229434546,1788.5180630744806,25422.704409001923,7.0351211826275435,School
Mbita_Primary_School,Kwale,9328.087602953992,14449.305751409045,25422.704409001923,56.83622607157675,School
Mbulia_Dispensary,Taita_Taveta,48761.27022139263,6100.400287132911,59132.19127669016,10.316546969463792,Clinic
Mchinjirini_Primary_School,Kwale,12203.574714395974,11703.857253152551,25422.704409001923,46.03702684364428,School
Melikubwa_Primary_School,Kwale,17590.248003097517,6127.406711311242,25422.704409001923,24.102104216503378,School
Merti_Muslim_Primary_School,Isiolo,18706.77344289634,5911.696308858016,26508.275254614462,22.30132383972786,School
Mgange_Dawida_Health_centre,Taita_Taveta,41260.3250242714,13927.352094532498,59132.19127669016,23.552910510899068,Clinic
Mgange_Nyika_health_centre,Taita_Taveta,46180.63819954021,8788.071812619868,59132.19127669016,14.861738797229581,Clinic
Mikameni_Primary_School,Kwale,14235.486779778012,9536.013252443536,25422.704409001923,37.50983018575683,School
Mitangani_Primary_School,Kilifi,21087.394535073458,2586.933102670473,25522.993247306593,10.135696380139382,School
Mitangoni_Primary_School,Kilifi,16565.962522667563,7197.431252217279,25522.993247306593,28.199792957187004,School
Mitulani_Primary_School,Kilifi,17087.578187144947,6757.156937806177,25522.993247306593,26.474782453344304,School
Mitunguni_Primary_School,Kwale,20452.81479253134,3198.592497731668,25422.704409001923,12.58163744608964,School
Mkuluni_Primary_School,Kilifi,13529.359657208695,10271.265014418785,25522.993247306593,40.243183528259166,School
Mlilo_Primary_School,Taita_Taveta,19350.907167344925,5121.935219628692,26280.97390075118,19.48913780353586,School
Mlola_Primary_School,Kwale,18557.448981254558,5113.767657686945,25422.704409001923,20.11496328406435,School
Mogore_Primary_School,Isiolo,22254.05501083549,2351.7430796388007,26508.275254614462,8.871731778284662,School
Mrima_Wa_Kuku_Primary_School,Kilifi,18902.53897053005,4863.687120032799,25522.993247306593,19.056100015017073,School
Mtsamviani_Secondary_School,Kwale,5763.702741138506,18139.955976136152,25422.704409001923,71.35336856496265,School
Mtsangatamu_Primary_School,Kwale,17014.87323820913,6761.070702134507,25422.704409001923,26.59461634514572,School
Mtumwa_Dispensary,Kwale,33088.035683615926,20387.219364384022,57201.08492025433,35.6413158820439,Clinic
Muchuro_Primary_School,Isiolo,23347.127963104787,1204.7752186627813,26508.275254614462,4.54490232612572,School
Mugumoni_Primary_School,Kilifi,20091.08562512388,3585.434406695118,25522.993247306593,14.047860186122504,School
Muhumkulu_Primary_School,Kilifi,11453.083561641026,12457.131635207448,25522.993247306593,48.807487094101056,School
Munandanur_Primary_School,Isiolo,19934.0167810462,4741.926589983036,26508.275254614462,17.888476501908887,School
Mwaluvuno_Primary_School,Kwale,15288.922210351935,8561.636209784872,25422.704409001923,33.67712605254256,School
Mwamambi_Primary_School,Kwale,19820.73871019523,3759.7535766247884,25422.704409001923,14.788959963258266,School
Mwamtsefu_Primary_School,Kwale,14792.541772952436,8925.149763044576,25422.704409001923,35.107003643106786,School
Mwangani_Primary_School,Kilifi,12817.2187634549,11165.454816242342,25522.993247306593,43.74665113944117,School
Mwangaza_Primary_School,Kwale,20195.232829659682,3420.7991619735963,25422.704409001923,13.455685543676172,School
Mwanza_Primary_School,Kilifi,20245.838596710582,3483.8675299265888,25522.993247306593,13.649917531887592,School
Mwanzwani_Primary_School,Kwale,16361.901386868396,7397.96605480573,25422.704409001923,29.099839009205432,School
Mwele_Primary_School,Kilifi,20041.8361561221,3640.1832550125,25522.993247306593,14.26236813112288,School
Mwembe_Kati_Dispensary,Kilifi,38288.45254396158,15379.28520259765,57426.73480643981,26.78070632856706,Clinic
Nabeiye_Primary_School,Turkana,19449.01534077178,4727.632823185795,26031.138944136594,18.16145207219477,School
Nagaa_Primary_School,Isiolo,20607.703048512212,3982.101808225356,26508.275254614462,15.02210826610519,School
Nakaalei_Primary_School,Turkana,18720.3156625625,5505.541176271171,26031.138944136594,21.149828242575882,School
Nakitoekakumon_Primary_School,Turkana,18273.662283320682,5865.141266875787,26031.138944136594,22.531251050760826,School
Namakat_Primary_School,Turkana,21236.726062985836,2919.4866356277053,26031.138944136594,11.215362654292573,School
Namortung_a_Boys_Secondary_School,Turkana,9983.611595224736,14474.62014401658,26031.138944136594,55.60502049134093,School
Naroo_Primary_School,Turkana,17939.27039342647,6336.319097478899,26031.138944136594,24.341305661180563,School
